index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.073,0.038,1.926,0.054,-0.001,0.146
age,-0.005,0.001,-5.244,0.000,-0.007,-0.003
I(age ** 2),0.000,0.000,4.691,0.000,0.000,0.000
cell Var,0.134,0.017,,,,
