period,effect
1981.0,-0.21594886131244054
1982.0,-0.2152794367422463
1984.0,-0.2301276140814792
1990.0,-0.2599537195797629
1991.0,-0.1813315106831047
1995.0,0.22880848966336853
1996.0,-0.08079690882371872
1997.0,-0.25784477552448837
1998.0,-0.0008422428824489218
1999.0,0.7885384720577608
2000.0,0.34392204108226804
2001.0,-0.2394193871779401
2002.0,-0.5076554469672413
2003.0,-0.4869147420377797
2004.0,0.5316544820491076
2005.0,0.34340760508530715
2006.0,0.15970785238954346
2007.0,-0.14302167650334596
2009.0,-0.4435001390556121
2010.0,0.07402300658237253
2011.0,-0.0016915851265668991
2012.0,0.07002089025488199
2013.0,-0.030418211599572635
2014.0,-0.4565435211019081
2016.0,0.0829185983605386
2017.0,0.1156237627464964
2018.0,0.053568757927463996
2019.0,0.08093568069405345
2020.0,0.25655281538097374
2021.0,-0.2822084509658328
2022.0,0.7751391434142656
2023.0,-0.07242128308323077
