index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.199,0.014,14.378,0.000,0.172,0.226
age,0.001,0.001,2.026,0.043,0.000,0.002
I(age ** 2),0.000,0.000,0.777,0.437,-0.000,0.000
cell Var,0.005,0.001,,,,
