period,effect
1981.0,0.08039852759163474
1982.0,0.02568936564007081
1984.0,0.005764612927250744
1989.0,0.0987990397399029
1990.0,0.04526477596387761
1991.0,-0.08169075891850441
1995.0,0.02426294235783592
1996.0,-0.018591456817079598
1997.0,-0.04637173363388558
1998.0,-0.008213058136779153
1999.0,0.018366818698114087
2000.0,0.08139900123328603
2001.0,-0.023326387120717572
2002.0,-0.06620661965136498
2003.0,0.0703446503736486
2004.0,0.13073324427176308
2005.0,0.021605359670078865
2006.0,0.01999902249513732
2007.0,-0.0010187185849116459
2008.0,-0.04575146624921976
2009.0,-0.025998105840003234
2010.0,-0.010849656490253153
2011.0,0.003166421363161182
2012.0,-0.03636469516718577
2013.0,0.020190415117638135
2014.0,-0.07863791195430697
2016.0,-0.04223659881214052
2017.0,-0.06391867378173938
2018.0,-0.032188969297648175
2019.0,-0.024652168599627322
2020.0,0.025515945954535955
2021.0,-0.11402017191284575
2022.0,0.10486596072776341
2023.0,-0.06889746397366685
