index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.203,0.063,3.217,0.001,0.079,0.326
age,-0.006,0.003,-2.174,0.030,-0.011,-0.001
I(age ** 2),0.000,0.000,0.601,0.548,-0.000,0.000
cell Var,0.137,0.010,,,,
