period,effect
1981.0,0.07888139667553024
1982.0,0.01926360724019582
1984.0,-0.0055435068143832745
1989.0,0.08592403897063591
1990.0,0.04560845314487428
1991.0,-0.06669836059052105
1995.0,0.02239102461313334
1996.0,-0.016248469054427325
1997.0,-0.05144322270327332
1998.0,-0.010245028822254872
1999.0,0.029975287811617443
2000.0,0.06518721814731163
2001.0,-0.01966941997053026
2002.0,-0.06893341383332661
2003.0,0.06533610435433596
2004.0,0.13444437982123486
2005.0,0.022824132570525277
2006.0,0.015586175289392101
2007.0,0.0018771139163041282
2008.0,-0.04390481686368879
2009.0,-0.02493471579845901
2010.0,-0.014134738912428921
2011.0,0.011762120395959346
2012.0,-0.03165410814001508
2013.0,0.023002631049255515
2014.0,-0.0709325972665896
2016.0,-0.03763531253385217
2017.0,-0.05255755031470119
2018.0,-0.03095474474524166
2019.0,-0.025660913304638683
2020.0,0.02784473182001955
2021.0,-0.11419577858606579
2022.0,0.09704055493163377
2023.0,-0.06447790884857363
