period,effect
1981.0,-0.2014973846849587
1982.0,-0.18551419977771028
1984.0,-0.19040881803884843
1990.0,-0.24616063993734275
1991.0,-0.2166428586870822
1995.0,0.29897606992496334
1996.0,-0.06844950184143887
1997.0,-0.278318197858063
1998.0,0.04203315568064794
1999.0,0.727164096297815
2000.0,0.33470904107071187
2001.0,-0.2359734625503437
2002.0,-0.46922764639285086
2003.0,-0.4303560616129415
2004.0,0.4553380003042692
2005.0,0.3033587067827645
2006.0,0.1772134059617776
2007.0,-0.15503596585677384
2009.0,-0.4400649337587767
2010.0,0.06668958289448856
2011.0,-0.0354582341634573
2012.0,0.07416351396576656
2013.0,-0.015907040665004778
2014.0,-0.47700746740346034
2016.0,0.0846274813205502
2017.0,0.08875061380277842
2018.0,0.01777769243595116
2019.0,0.07660329687958256
2020.0,0.25238438918049505
2021.0,-0.2731814532946153
2022.0,0.7594977304915836
2023.0,-0.0583202913395003
