index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.185,0.010,18.124,0.000,0.165,0.205
age,0.002,0.000,4.197,0.000,0.001,0.002
I(age ** 2),0.000,0.000,0.595,0.552,-0.000,0.000
cell Var,0.005,0.002,,,,
