period,effect
1981.0,0.06524051726990539
1982.0,0.015536866702359868
1984.0,-0.006696714408102725
1989.0,0.07640151536734865
1990.0,0.03891646741031975
1991.0,-0.04298353334111847
1995.0,0.023091746335263067
1996.0,-0.0164068264242012
1997.0,-0.05384401108609088
1998.0,-0.013025418563961428
1999.0,0.03202782312703606
2000.0,0.0670832392251249
2001.0,-0.01373672369456908
2002.0,-0.06466842070782952
2003.0,0.06262448561163086
2004.0,0.11787433995060578
2005.0,0.017093684000579576
2006.0,0.013478977102278787
2007.0,0.002833415735426506
2008.0,-0.04625332656145336
2009.0,-0.028405884052477112
2010.0,-0.008517543975162288
2011.0,0.008868769703247422
2012.0,-0.0263766332501055
2013.0,0.021201177136190463
2014.0,-0.06609953564872499
2016.0,-0.029927776871008296
2017.0,-0.049418172343359115
2018.0,-0.03251452574798865
2019.0,-0.030262048972156088
2020.0,0.029393002455546068
2021.0,-0.10505022651875774
2022.0,0.08737580231700846
2023.0,-0.05385833774499667
