cohort,effect
1890.0,-0.10112369633963943
1895.0,0.05221897471701875
1900.0,-0.08103392195911202
1905.0,-0.12009734796395982
1910.0,-0.03155891950053914
1915.0,-0.042134304739649936
1920.0,-0.02954654368703339
1925.0,0.03376079865862113
1930.0,0.003827104398797598
1935.0,0.009247449126536519
1940.0,0.08479643222376107
1945.0,0.05287149966465681
1950.0,0.06920981616863763
1955.0,0.013043670512741943
1960.0,-0.0008927737036494672
1965.0,-0.009078781040653312
1970.0,-0.02019737308515504
1975.0,-0.029036810718093505
1980.0,0.00019166041434761036
1985.0,-0.053391344901402515
1990.0,-0.029082801630836572
1995.0,-0.04061394252481358
2000.0,0.005554779153666314
2005.0,-0.1293634496558371
