index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.188,0.017,11.176,0.000,0.155,0.221
age,0.002,0.001,3.042,0.002,0.001,0.004
I(age ** 2),-0.000,0.000,-1.148,0.251,-0.000,0.000
cell Var,0.005,0.001,,,,
