cohort,effect
1890.0,0.02442466368768835
1895.0,0.036169201187692034
1900.0,-0.003628758113328989
1905.0,-0.0002636331387108144
1910.0,0.00568521220566619
1915.0,-0.009462124192574584
1920.0,0.001953126402562959
1925.0,0.005233515079657374
1930.0,0.0017076628629771223
1935.0,-0.005666351348677935
1940.0,0.014864284234438984
1945.0,0.0020242507493283186
1950.0,0.014528480053382878
1955.0,-0.0011929456464549017
1960.0,-0.004256471575667562
1965.0,0.00797189481932198
1970.0,-0.010962105122236604
1975.0,-0.011529176545733532
1980.0,-0.0020285626747655085
1985.0,0.0079735198204409
1990.0,-0.011995033984568564
1995.0,-0.025560863704749442
2000.0,-0.03106354943992552
2005.0,-0.04783238689980333
